key,dataset,algorithm,algorithm_class,seed,metric,k,value
MovieLens100K|ItemKNN|seed=43|NDCG@5,MovieLens100K,ItemKNN,lenskit.knn.item.ItemKNNScorer,43,NDCG,5,0.25677047628281174
MovieLens100K|ItemKNN|seed=43|NDCG@10,MovieLens100K,ItemKNN,lenskit.knn.item.ItemKNNScorer,43,NDCG,10,0.2524707341319965
MovieLens100K|ItemKNN|seed=43|Precision@1,MovieLens100K,ItemKNN,lenskit.knn.item.ItemKNNScorer,43,Precision,1,0.31663113006396587
MovieLens100K|ItemKNN|seed=43|Precision@5,MovieLens100K,ItemKNN,lenskit.knn.item.ItemKNNScorer,43,Precision,5,0.22771855010660982
MovieLens100K|ItemKNN|seed=43|Precision@10,MovieLens100K,ItemKNN,lenskit.knn.item.ItemKNNScorer,43,Precision,10,0.18240938166311302
MovieLens100K|Pop|seed=43|NDCG@1,MovieLens100K,Pop,lenskit.basic.popularity.PopScorer,43,NDCG,1,0.2281449893390192
MovieLens100K|Pop|seed=43|NDCG@5,MovieLens100K,Pop,lenskit.basic.popularity.PopScorer,43,NDCG,5,0.16968923277375209
MovieLens100K|Pop|seed=43|NDCG@10,MovieLens100K,Pop,lenskit.basic.popularity.PopScorer,43,NDCG,10,0.15977444346541855
MovieLens100K|Pop|seed=43|Precision@1,MovieLens100K,Pop,lenskit.basic.popularity.PopScorer,43,Precision,1,0.2281449893390192
MovieLens100K|Pop|seed=43|Precision@5,MovieLens100K,Pop,lenskit.basic.popularity.PopScorer,43,Precision,5,0.15373134328358207
MovieLens100K|Pop|seed=43|Precision@10,MovieLens100K,Pop,lenskit.basic.popularity.PopScorer,43,Precision,10,0.12313432835820895
MovieLens100K|ALS|seed=44|NDCG@1,MovieLens100K,ALS,lenskit.als._implicit.ImplicitMFScorer,44,NDCG,1,0.21108742004264391
MovieLens100K|ALS|seed=44|NDCG@5,MovieLens100K,ALS,lenskit.als._implicit.ImplicitMFScorer,44,NDCG,5,0.19000453559693634
MovieLens100K|ALS|seed=44|NDCG@10,MovieLens100K,ALS,lenskit.als._implicit.ImplicitMFScorer,44,NDCG,10,0.20421404098373247
MovieLens100K|ALS|seed=44|Precision@1,MovieLens100K,ALS,lenskit.als._implicit.ImplicitMFScorer,44,Precision,1,0.21108742004264391
MovieLens100K|ALS|seed=44|Precision@5,MovieLens100K,ALS,lenskit.als._implicit.ImplicitMFScorer,44,Precision,5,0.1678038379530917
MovieLens100K|ALS|seed=44|Precision@10,MovieLens100K,ALS,lenskit.als._implicit.ImplicitMFScorer,44,Precision,10,0.15223880597014927
MovieLens100K|ItemKNN|seed=44|NDCG@1,MovieLens100K,ItemKNN,lenskit.knn.item.ItemKNNScorer,44,NDCG,1,0.31130063965884863
MovieLens100K|ItemKNN|seed=44|NDCG@5,MovieLens100K,ItemKNN,lenskit.knn.item.ItemKNNScorer,44,NDCG,5,0.25930088794019746
MovieLens100K|ItemKNN|seed=44|NDCG@10,MovieLens100K,ItemKNN,lenskit.knn.item.ItemKNNScorer,44,NDCG,10,0.25450122068507597
MovieLens100K|ItemKNN|seed=44|Precision@1,MovieLens100K,ItemKNN,lenskit.knn.item.ItemKNNScorer,44,Precision,1,0.31130063965884863
MovieLens100K|ItemKNN|seed=44|Precision@5,MovieLens100K,ItemKNN,lenskit.knn.item.ItemKNNScorer,44,Precision,5,0.2311300639658849
MovieLens100K|ItemKNN|seed=44|Precision@10,MovieLens100K,ItemKNN,lenskit.knn.item.ItemKNNScorer,44,Precision,10,0.18336886993603413
MovieLens100K|Pop|seed=44|NDCG@1,MovieLens100K,Pop,lenskit.basic.popularity.PopScorer,44,NDCG,1,0.21108742004264391
MovieLens100K|Pop|seed=44|NDCG@5,MovieLens100K,Pop,lenskit.basic.popularity.PopScorer,44,NDCG,5,0.15895508889711144
MovieLens100K|Pop|seed=44|NDCG@10,MovieLens100K,Pop,lenskit.basic.popularity.PopScorer,44,NDCG,10,0.15451648561482664
MovieLens100K|Pop|seed=44|Precision@1,MovieLens100K,Pop,lenskit.basic.popularity.PopScorer,44,Precision,1,0.21108742004264391
MovieLens100K|Pop|seed=44|Precision@5,MovieLens100K,Pop,lenskit.basic.popularity.PopScorer,44,Precision,5,0.14285714285714285
MovieLens100K|Pop|seed=44|Precision@10,MovieLens100K,Pop,lenskit.basic.popularity.PopScorer,44,Precision,10,0.11961620469083155
MovieLens100K|ALS|seed=45|NDCG@1,MovieLens100K,ALS,lenskit.als._implicit.ImplicitMFScorer,45,NDCG,1,0.19509594882729211
MovieLens100K|ALS|seed=45|NDCG@5,MovieLens100K,ALS,lenskit.als._implicit.ImplicitMFScorer,45,NDCG,5,0.1752840961576194
MovieLens100K|ALS|seed=45|NDCG@10,MovieLens100K,ALS,lenskit.als._implicit.ImplicitMFScorer,45,NDCG,10,0.1891271441233914
MovieLens100K|ALS|seed=45|Precision@1,MovieLens100K,ALS,lenskit.als._implicit.ImplicitMFScorer,45,Precision,1,0.19509594882729211
MovieLens100K|ALS|seed=45|Precision@5,MovieLens100K,ALS,lenskit.als._implicit.ImplicitMFScorer,45,Precision,5,0.15842217484008528
MovieLens100K|ALS|seed=45|Precision@10,MovieLens100K,ALS,lenskit.als._implicit.ImplicitMFScorer,45,Precision,10,0.14093816631130066
MovieLens100K|ItemKNN|seed=45|NDCG@1,MovieLens100K,ItemKNN,lenskit.knn.item.ItemKNNScorer,45,NDCG,1,0.3230277185501066
MovieLens100K|ItemKNN|seed=45|NDCG@5,MovieLens100K,ItemKNN,lenskit.knn.item.ItemKNNScorer,45,NDCG,5,0.2531008365333946
MovieLens100K|ItemKNN|seed=45|NDCG@10,MovieLens100K,ItemKNN,lenskit.knn.item.ItemKNNScorer,45,NDCG,10,0.24907452930035198
MovieLens100K|ItemKNN|seed=45|Precision@1,MovieLens100K,ItemKNN,lenskit.knn.item.ItemKNNScorer,45,Precision,1,0.3230277185501066
MovieLens100K|ItemKNN|seed=45|Precision@5,MovieLens100K,ItemKNN,lenskit.knn.item.ItemKNNScorer,45,Precision,5,0.22324093816631133
MovieLens100K|ItemKNN|seed=45|Precision@10,MovieLens100K,ItemKNN,lenskit.knn.item.ItemKNNScorer,45,Precision,10,0.17878464818763332
MovieLens100K|Pop|seed=45|NDCG@1,MovieLens100K,Pop,lenskit.basic.popularity.PopScorer,45,NDCG,1,0.20042643923240938
MovieLens100K|Pop|seed=45|NDCG@5,MovieLens100K,Pop,lenskit.basic.popularity.PopScorer,45,NDCG,5,0.15725563680542592
MovieLens100K|Pop|seed=45|NDCG@10,MovieLens100K,Pop,lenskit.basic.popularity.PopScorer,45,NDCG,10,0.15349508751827912
MovieLens100K|Pop|seed=45|Precision@1,MovieLens100K,Pop,lenskit.basic.popularity.PopScorer,45,Precision,1,0.20042643923240938
MovieLens100K|Pop|seed=45|Precision@5,MovieLens100K,Pop,lenskit.basic.popularity.PopScorer,45,Precision,5,0.1415778251599147
MovieLens100K|Pop|seed=45|Precision@10,MovieLens100K,Pop,lenskit.basic.popularity.PopScorer,45,Precision,10,0.11865671641791047
MovieLens100K|ALS|seed=46|NDCG@1,MovieLens100K,ALS,lenskit.als._implicit.ImplicitMFScorer,46,NDCG,1,0.18763326226012794
MovieLens100K|ALS|seed=46|NDCG@5,MovieLens100K,ALS,lenskit.als._implicit.ImplicitMFScorer,46,NDCG,5,0.18137174371787934
MovieLens100K|ALS|seed=46|NDCG@10,MovieLens100K,ALS,lenskit.als._implicit.ImplicitMFScorer,46,NDCG,10,0.1942160416283496
MovieLens100K|ALS|seed=46|Precision@1,MovieLens100K,ALS,lenskit.als._implicit.ImplicitMFScorer,46,Precision,1,0.18763326226012794
MovieLens100K|ALS|seed=46|Precision@5,MovieLens100K,ALS,lenskit.als._implicit.ImplicitMFScorer,46,Precision,5,0.167590618336887
MovieLens100K|ALS|seed=46|Precision@10,MovieLens100K,ALS,lenskit.als._implicit.ImplicitMFScorer,46,Precision,10,0.14818763326226012
MovieLens100K|ItemKNN|seed=46|NDCG@1,MovieLens100K,ItemKNN,lenskit.knn.item.ItemKNNScorer,46,NDCG,1,0.26332622601279315
MovieLens100K|ItemKNN|seed=46|NDCG@5,MovieLens100K,ItemKNN,lenskit.knn.item.ItemKNNScorer,46,NDCG,5,0.24878060816018313
MovieLens100K|ItemKNN|seed=46|NDCG@10,MovieLens100K,ItemKNN,lenskit.knn.item.ItemKNNScorer,46,NDCG,10,0.24297615058598335
MovieLens100K|ItemKNN|seed=46|Precision@1,MovieLens100K,ItemKNN,lenskit.knn.item.ItemKNNScorer,46,Precision,1,0.26332622601279315
MovieLens100K|ItemKNN|seed=46|Precision@5,MovieLens100K,ItemKNN,lenskit.knn.item.ItemKNNScorer,46,Precision,5,0.223454157782516
MovieLens100K|ItemKNN|seed=46|Precision@10,MovieLens100K,ItemKNN,lenskit.knn.item.ItemKNNScorer,46,Precision,10,0.17686567164179104
MovieLens100K|Pop|seed=46|NDCG@1,MovieLens100K,Pop,lenskit.basic.popularity.PopScorer,46,NDCG,1,0.21535181236673773
MovieLens100K|Pop|seed=46|NDCG@5,MovieLens100K,Pop,lenskit.basic.popularity.PopScorer,46,NDCG,5,0.16033176541969013
MovieLens100K|Pop|seed=46|NDCG@10,MovieLens100K,Pop,lenskit.basic.popularity.PopScorer,46,NDCG,10,0.1535649373982675
MovieLens100K|Pop|seed=46|Precision@1,MovieLens100K,Pop,lenskit.basic.popularity.PopScorer,46,Precision,1,0.21535181236673773
MovieLens100K|Pop|seed=46|Precision@5,MovieLens100K,Pop,lenskit.basic.popularity.PopScorer,46,Precision,5,0.14349680170575696
MovieLens100K|Pop|seed=46|Precision@10,MovieLens100K,Pop,lenskit.basic.popularity.PopScorer,46,Precision,10,0.11855010660980811
AmazonVideoGames|ALS|seed=42|NDCG@1,AmazonVideoGames,ALS,lenskit.als._implicit.ImplicitMFScorer,42,NDCG,1,0.04803545403170637
AmazonVideoGames|ALS|seed=42|NDCG@5,AmazonVideoGames,ALS,lenskit.als._implicit.ImplicitMFScorer,42,NDCG,5,0.0685838270293223
AmazonVideoGames|ALS|seed=42|NDCG@10,AmazonVideoGames,ALS,lenskit.als._implicit.ImplicitMFScorer,42,NDCG,10,0.08323142303234292
AmazonVideoGames|ALS|seed=42|Precision@1,AmazonVideoGames,ALS,lenskit.als._implicit.ImplicitMFScorer,42,Precision,1,0.04803545403170637
AmazonVideoGames|ALS|seed=42|Precision@5,AmazonVideoGames,ALS,lenskit.als._implicit.ImplicitMFScorer,42,Precision,5,0.030338181493709288
AmazonVideoGames|ALS|seed=42|Precision@10,AmazonVideoGames,ALS,lenskit.als._implicit.ImplicitMFScorer,42,Precision,10,0.023464501353320837
AmazonVideoGames|ItemKNN|seed=42|NDCG@1,AmazonVideoGames,ItemKNN,lenskit.knn.item.ItemKNNScorer,42,NDCG,1,0.05163439516968561
AmazonVideoGames|ItemKNN|seed=42|NDCG@5,AmazonVideoGames,ItemKNN,lenskit.knn.item.ItemKNNScorer,42,NDCG,5,0.06293710863038417
AmazonVideoGames|ItemKNN|seed=42|NDCG@10,AmazonVideoGames,ItemKNN,lenskit.knn.item.ItemKNNScorer,42,NDCG,10,0.07488533181826057
AmazonVideoGames|ItemKNN|seed=42|Precision@1,AmazonVideoGames,ItemKNN,lenskit.knn.item.ItemKNNScorer,42,Precision,1,0.05163439516968561
AmazonVideoGames|ItemKNN|seed=42|Precision@5,AmazonVideoGames,ItemKNN,lenskit.knn.item.ItemKNNScorer,42,Precision,5,0.02794087028940246
AmazonVideoGames|ItemKNN|seed=42|Precision@10,AmazonVideoGames,ItemKNN,lenskit.knn.item.ItemKNNScorer,42,Precision,10,0.020897653252431515
AmazonVideoGames|Pop|seed=42|NDCG@1,AmazonVideoGames,Pop,lenskit.basic.popularity.PopScorer,42,NDCG,1,0.003182534725320484
AmazonVideoGames|Pop|seed=42|NDCG@5,AmazonVideoGames,Pop,lenskit.basic.popularity.PopScorer,42,NDCG,5,0.007918301557371827
AmazonVideoGames|Pop|seed=42|NDCG@10,AmazonVideoGames,Pop,lenskit.basic.popularity.PopScorer,42,NDCG,10,0.009889474356388378
AmazonVideoGames|Pop|seed=42|Precision@1,AmazonVideoGames,Pop,lenskit.basic.popularity.PopScorer,42,Precision,1,0.003182534725320484
AmazonVideoGames|Pop|seed=42|Precision@5,AmazonVideoGames,Pop,lenskit.basic.popularity.PopScorer,42,Precision,5,0.003961809583296154
AmazonVideoGames|Pop|seed=42|Precision@10,AmazonVideoGames,Pop,lenskit.basic.popularity.PopScorer,42,Precision,10,0.0030695101275988223
AmazonVideoGames|ALS|seed=43|NDCG@1,AmazonVideoGames,ALS,lenskit.als._implicit.ImplicitMFScorer,43,NDCG,1,0.03637607447726124
AmazonVideoGames|ALS|seed=43|NDCG@5,AmazonVideoGames,ALS,lenskit.als._implicit.ImplicitMFScorer,43,NDCG,5,0.05150288127751071
AmazonVideoGames|ALS|seed=43|NDCG@10,AmazonVideoGames,ALS,lenskit.als._implicit.ImplicitMFScorer,43,NDCG,10,0.06434153327805184
AmazonVideoGames|ALS|seed=43|Precision@1,AmazonVideoGames,ALS,lenskit.als._implicit.ImplicitMFScorer,43,Precision,1,0.03637607447726124
AmazonVideoGames|ALS|seed=43|Precision@5,AmazonVideoGames,ALS,lenskit.als._implicit.ImplicitMFScorer,43,Precision,5,0.02450254305344874
AmazonVideoGames|ALS|seed=43|Precision@10,AmazonVideoGames,ALS,lenskit.als._implicit.ImplicitMFScorer,43,Precision,10,0.019672228666607183
AmazonVideoGames|ItemKNN|seed=43|NDCG@1,AmazonVideoGames,ItemKNN,lenskit.knn.item.ItemKNNScorer,43,NDCG,1,0.05205080158234437
AmazonVideoGames|ItemKNN|seed=43|NDCG@5,AmazonVideoGames,ItemKNN,lenskit.knn.item.ItemKNNScorer,43,NDCG,5,0.061690981199697605
AmazonVideoGames|ItemKNN|seed=43|NDCG@10,AmazonVideoGames,ItemKNN,lenskit.knn.item.ItemKNNScorer,43,NDCG,10,0.07204124797741938
AmazonVideoGames|ItemKNN|seed=43|Precision@1,AmazonVideoGames,ItemKNN,lenskit.knn.item.ItemKNNScorer,43,Precision,1,0.05205080158234437
AmazonVideoGames|ItemKNN|seed=43|Precision@5,AmazonVideoGames,ItemKNN,lenskit.knn.item.ItemKNNScorer,43,Precision,5,0.027655334463579314
AmazonVideoGames|ItemKNN|seed=43|Precision@10,AmazonVideoGames,ItemKNN,lenskit.knn.item.ItemKNNScorer,43,Precision,10,0.0201005324053419
AmazonVideoGames|Pop|seed=43|NDCG@1,AmazonVideoGames,Pop,lenskit.basic.popularity.PopScorer,43,NDCG,1,0.0027066416822819073
AmazonVideoGames|Pop|seed=43|NDCG@5,AmazonVideoGames,Pop,lenskit.basic.popularity.PopScorer,43,NDCG,5,0.006178060019418314
AmazonVideoGames|Pop|seed=43|NDCG@10,AmazonVideoGames,Pop,lenskit.basic.popularity.PopScorer,43,NDCG,10,0.007529166668910939
AmazonVideoGames|Pop|seed=43|Precision@1,AmazonVideoGames,Pop,lenskit.basic.popularity.PopScorer,43,Precision,1,0.0027066416822819073
AmazonVideoGames|Pop|seed=43|Precision@5,AmazonVideoGames,Pop,lenskit.basic.popularity.PopScorer,43,Precision,5,0.0029267422146872493
AmazonVideoGames|Pop|seed=43|Precision@10,AmazonVideoGames,Pop,lenskit.basic.popularity.PopScorer,43,Precision,10,0.0023229529163320546
AmazonVideoGames|ALS|seed=44|NDCG@1,AmazonVideoGames,ALS,lenskit.als._implicit.ImplicitMFScorer,44,NDCG,1,0.05564974272032361
AmazonVideoGames|ALS|seed=44|NDCG@5,AmazonVideoGames,ALS,lenskit.als._implicit.ImplicitMFScorer,44,NDCG,5,0.07196415718809425
AmazonVideoGames|ALS|seed=44|NDCG@10,AmazonVideoGames,ALS,lenskit.als._implicit.ImplicitMFScorer,44,NDCG,10,0.08731738541751806
AmazonVideoGames|ALS|seed=44|Precision@1,AmazonVideoGames,ALS,lenskit.als._implicit.ImplicitMFScorer,44,Precision,1,0.05564974272032361
AmazonVideoGames|ALS|seed=44|Precision@5,AmazonVideoGames,ALS,lenskit.als._implicit.ImplicitMFScorer,44,Precision,5,0.03302102852383927
AmazonVideoGames|ALS|seed=44|Precision@10,AmazonVideoGames,ALS,lenskit.als._implicit.ImplicitMFScorer,44,Precision,10,0.02544540614496892
AmazonVideoGames|ItemKNN|seed=44|NDCG@1,AmazonVideoGames,ItemKNN,lenskit.knn.item.ItemKNNScorer,44,NDCG,1,0.05686921864310996
AmazonVideoGames|ItemKNN|seed=44|NDCG@5,AmazonVideoGames,ItemKNN,lenskit.knn.item.ItemKNNScorer,44,NDCG,5,0.06583924601992751
AmazonVideoGames|ItemKNN|seed=44|NDCG@10,AmazonVideoGames,ItemKNN,lenskit.knn.item.ItemKNNScorer,44,NDCG,10,0.07662772646580235
AmazonVideoGames|ItemKNN|seed=44|Precision@1,AmazonVideoGames,ItemKNN,lenskit.knn.item.ItemKNNScorer,44,Precision,1,0.05686921864310996
AmazonVideoGames|ItemKNN|seed=44|Precision@5,AmazonVideoGames,ItemKNN,lenskit.knn.item.ItemKNNScorer,44,Precision,5,0.030421462776241043
AmazonVideoGames|ItemKNN|seed=44|Precision@10,AmazonVideoGames,ItemKNN,lenskit.knn.item.ItemKNNScorer,44,Precision,10,0.021825644686356744
AmazonVideoGames|Pop|seed=44|NDCG@1,AmazonVideoGames,Pop,lenskit.basic.popularity.PopScorer,44,NDCG,1,0.004788673745575682
AmazonVideoGames|Pop|seed=44|NDCG@5,AmazonVideoGames,Pop,lenskit.basic.popularity.PopScorer,44,NDCG,5,0.00837428012756318
AmazonVideoGames|Pop|seed=44|NDCG@10,AmazonVideoGames,Pop,lenskit.basic.popularity.PopScorer,44,NDCG,10,0.01077701681594044
AmazonVideoGames|Pop|seed=44|Precision@1,AmazonVideoGames,Pop,lenskit.basic.popularity.PopScorer,44,Precision,1,0.004788673745575682
AmazonVideoGames|Pop|seed=44|Precision@5,AmazonVideoGames,Pop,lenskit.basic.popularity.PopScorer,44,Precision,5,0.0043127807025371044
AmazonVideoGames|Pop|seed=44|Precision@10,AmazonVideoGames,Pop,lenskit.basic.popularity.PopScorer,44,Precision,10,0.0035543261651943725
AmazonVideoGames|ALS|seed=45|NDCG@1,AmazonVideoGames,ALS,lenskit.als._implicit.ImplicitMFScorer,45,NDCG,1,0.05103952886588739
AmazonVideoGames|ALS|seed=45|NDCG@5,AmazonVideoGames,ALS,lenskit.als._implicit.ImplicitMFScorer,45,NDCG,5,0.07129816901635115
AmazonVideoGames|ALS|seed=45|NDCG@10,AmazonVideoGames,ALS,lenskit.als._implicit.ImplicitMFScorer,45,NDCG,10,0.08741728833980786
AmazonVideoGames|ALS|seed=45|Precision@1,AmazonVideoGames,ALS,lenskit.als._implicit.ImplicitMFScorer,45,Precision,1,0.05103952886588739
AmazonVideoGames|ALS|seed=45|Precision@5,AmazonVideoGames,ALS,lenskit.als._implicit.ImplicitMFScorer,45,Precision,5,0.03228934297016746
AmazonVideoGames|ALS|seed=45|Precision@10,AmazonVideoGames,ALS,lenskit.als._implicit.ImplicitMFScorer,45,Precision,10,0.0252520745962345
AmazonVideoGames|ItemKNN|seed=45|NDCG@1,AmazonVideoGames,ItemKNN,lenskit.knn.item.ItemKNNScorer,45,NDCG,1,0.0569584485886797
AmazonVideoGames|ItemKNN|seed=45|NDCG@5,AmazonVideoGames,ItemKNN,lenskit.knn.item.ItemKNNScorer,45,NDCG,5,0.06716240928307433
AmazonVideoGames|ItemKNN|seed=45|NDCG@10,AmazonVideoGames,ItemKNN,lenskit.knn.item.ItemKNNScorer,45,NDCG,10,0.07871509241079142
AmazonVideoGames|ItemKNN|seed=45|Precision@1,AmazonVideoGames,ItemKNN,lenskit.knn.item.ItemKNNScorer,45,Precision,1,0.0569584485886797
AmazonVideoGames|ItemKNN|seed=45|Precision@5,AmazonVideoGames,ItemKNN,lenskit.knn.item.ItemKNNScorer,45,Precision,5,0.030219208232949643
AmazonVideoGames|ItemKNN|seed=45|Precision@10,AmazonVideoGames,ItemKNN,lenskit.knn.item.ItemKNNScorer,45,Precision,10,0.021953540941673358
AmazonVideoGames|Pop|seed=45|NDCG@1,AmazonVideoGames,Pop,lenskit.basic.popularity.PopScorer,45,NDCG,1,0.005056363582284881
AmazonVideoGames|Pop|seed=45|NDCG@5,AmazonVideoGames,Pop,lenskit.basic.popularity.PopScorer,45,NDCG,5,0.00770372640415309
AmazonVideoGames|Pop|seed=45|NDCG@10,AmazonVideoGames,Pop,lenskit.basic.popularity.PopScorer,45,NDCG,10,0.010288916040114721
AmazonVideoGames|Pop|seed=45|Precision@1,AmazonVideoGames,Pop,lenskit.basic.popularity.PopScorer,45,Precision,1,0.005056363582284881
AmazonVideoGames|Pop|seed=45|Precision@5,AmazonVideoGames,Pop,lenskit.basic.popularity.PopScorer,45,Precision,5,0.003943963594182209
AmazonVideoGames|Pop|seed=45|Precision@10,AmazonVideoGames,Pop,lenskit.basic.popularity.PopScorer,45,Precision,10,0.0034502245620296836
AmazonVideoGames|ALS|seed=46|NDCG@1,AmazonVideoGames,ALS,lenskit.als._implicit.ImplicitMFScorer,46,NDCG,1,0.049701079682341394
AmazonVideoGames|ALS|seed=46|NDCG@5,AmazonVideoGames,ALS,lenskit.als._implicit.ImplicitMFScorer,46,NDCG,5,0.06494437017428793
AmazonVideoGames|ALS|seed=46|NDCG@10,AmazonVideoGames,ALS,lenskit.als._implicit.ImplicitMFScorer,46,NDCG,10,0.07991949558624141
AmazonVideoGames|ALS|seed=46|Precision@1,AmazonVideoGames,ALS,lenskit.als._implicit.ImplicitMFScorer,46,Precision,1,0.049701079682341394
AmazonVideoGames|ALS|seed=46|Precision@5,AmazonVideoGames,ALS,lenskit.als._implicit.ImplicitMFScorer,46,Precision,5,0.031063918384343123
AmazonVideoGames|ALS|seed=46|Precision@10,AmazonVideoGames,ALS,lenskit.als._implicit.ImplicitMFScorer,46,Precision,10,0.02416346926028375
AmazonVideoGames|ItemKNN|seed=46|NDCG@1,AmazonVideoGames,ItemKNN,lenskit.knn.item.ItemKNNScorer,46,NDCG,1,0.05817792451146605
AmazonVideoGames|ItemKNN|seed=46|NDCG@5,AmazonVideoGames,ItemKNN,lenskit.knn.item.ItemKNNScorer,46,NDCG,5,0.06783426022825192
AmazonVideoGames|ItemKNN|seed=46|NDCG@10,AmazonVideoGames,ItemKNN,lenskit.knn.item.ItemKNNScorer,46,NDCG,10,0.07866569617157984
AmazonVideoGames|ItemKNN|seed=46|Precision@1,AmazonVideoGames,ItemKNN,lenskit.knn.item.ItemKNNScorer,46,Precision,1,0.05817792451146605
AmazonVideoGames|ItemKNN|seed=46|Precision@5,AmazonVideoGames,ItemKNN,lenskit.knn.item.ItemKNNScorer,46,Precision,5,0.030379822134975164
AmazonVideoGames|ItemKNN|seed=46|Precision@10,AmazonVideoGames,ItemKNN,lenskit.knn.item.ItemKNNScorer,46,Precision,10,0.021715594420154073
AmazonVideoGames|Pop|seed=46|NDCG@1,AmazonVideoGames,Pop,lenskit.basic.popularity.PopScorer,46,NDCG,1,0.004402010648106838
AmazonVideoGames|Pop|seed=46|NDCG@5,AmazonVideoGames,Pop,lenskit.basic.popularity.PopScorer,46,NDCG,5,0.006857763893364412
AmazonVideoGames|Pop|seed=46|NDCG@10,AmazonVideoGames,Pop,lenskit.basic.popularity.PopScorer,46,NDCG,10,0.009021557656233857
AmazonVideoGames|Pop|seed=46|Precision@1,AmazonVideoGames,Pop,lenskit.basic.popularity.PopScorer,46,Precision,1,0.004402010648106838
AmazonVideoGames|Pop|seed=46|Precision@5,AmazonVideoGames,Pop,lenskit.basic.popularity.PopScorer,46,Precision,5,0.0035810951488652928
AmazonVideoGames|Pop|seed=46|Precision@10,AmazonVideoGames,Pop,lenskit.basic.popularity.PopScorer,46,Precision,10,0.0031438684155736
HetrecLastFM|ALS|seed=42|NDCG@1,HetrecLastFM,ALS,lenskit.als._implicit.ImplicitMFScorer,42,NDCG,1,0.12201834862385322
