condition,root,run,relative_path,name,extension,bytes,sha256,modified,readable,rows,columns,parse_error
P3/Mini,study_runs,V100_P3_MINI_I05_R01,study_runs/V100_P3_MINI_I05_R01/checkpoint/728d2c10356b4ff4a3fe013781d33952/generated/MovieLens100K_seed_7/train.csv,train.csv,.csv,902130,efaaa6e83a448de3573b398b67a0d93797a14722ed3835a0254f39cc36771e6a,2026-07-24T08:47:31,True,43536,user|item|rating|timestamp,
P3/Mini,study_runs,V100_P3_MINI_I05_R01,study_runs/V100_P3_MINI_I05_R01/costs_log.csv,costs_log.csv,.csv,12961,b044b240aa5c6427adcd3e2d56bb3f53f56ba3c83e7c4ae0a6e46265731574fa,2026-07-24T08:59:38,True,138,Position|Timestamp|Model|Prompt Tokens|Prompt USD|Completion Tokens|Completion USD|Total Tokens|Total USD,
P3/Mini,study_runs,V100_P3_MINI_I05_R02,study_runs/V100_P3_MINI_I05_R02/checkpoint/21d81ee94fc0419f9687e959c418ccc7_iteration2/generated/results_long.csv,results_long.csv,.csv,298669,b8e885ef7aa2bc8236aebea70661778e599bf53deab8a514c161b2fa787bf8dd,2026-07-24T09:01:45,True,3675,dataset|algorithm|algorithm_class|seed|metric|k|value,
P3/Mini,study_runs,V100_P3_MINI_I05_R02,study_runs/V100_P3_MINI_I05_R02/checkpoint/7f0cd90d8e31446f95f8651142f3ba78/generated/ml100k_test_seed7.csv,ml100k_test_seed7.csv,.csv,225452,580fe7d9404bdc5a681a1fd81155def4f264c12732cdaf565e1d0450b43cb9b8,2026-07-24T08:50:42,True,10877,user|item|rating|timestamp,
P3/Mini,study_runs,V100_P3_MINI_I05_R02,study_runs/V100_P3_MINI_I05_R02/checkpoint/7f0cd90d8e31446f95f8651142f3ba78/generated/ml100k_train_seed7.csv,ml100k_train_seed7.csv,.csv,902138,75d967ef9096f764d1fd25f3a03e466e559c8dbaf2a9449ca2a6cf972d05c25b,2026-07-24T08:50:42,True,43536,user|item|rating|timestamp,
P3/Mini,study_runs,V100_P3_MINI_I05_R02,study_runs/V100_P3_MINI_I05_R02/checkpoint/7f0cd90d8e31446f95f8651142f3ba78/generated/prototype_results.csv,prototype_results.csv,.csv,2,7eb70257593da06f682a3ddda54a9d260d4fc514f645237f5ca74b08f8da61a6,2026-07-24T08:50:42,True,0,,
P3/Mini,study_runs,V100_P3_MINI_I05_R02,study_runs/V100_P3_MINI_I05_R02/costs_log.csv,costs_log.csv,.csv,15058,bda14a89c2d7ac2a753e8c50236359173bdb8c2a136becb970ae5fe646897526,2026-07-24T09:02:32,True,167,Position|Timestamp|Model|Prompt Tokens|Prompt USD|Completion Tokens|Completion USD|Total Tokens|Total USD,
P3/Mini,study_runs,V100_P3_MINI_I05_R03,study_runs/V100_P3_MINI_I05_R03/checkpoint/9deb4fdf484e455888958bc45494ca3e/generated/results/prototype_results.csv,prototype_results.csv,.csv,2583,dd3dee70991bc45feb3ae13235abe5ba33d3bba2bd805d9dd177f783172ed38c,2026-07-24T09:17:00,True,30,dataset|algorithm|algorithm_class|seed|metric|k|value,
P3/Mini,study_runs,V100_P3_MINI_I05_R03,study_runs/V100_P3_MINI_I05_R03/checkpoint/9deb4fdf484e455888958bc45494ca3e/generated/results/prototype_summary.csv,prototype_summary.csv,.csv,881,b0818bbb77cc806c9751bf70e23f4e4ccf6618301f736fdb4fae59c44fe6508f,2026-07-24T09:17:00,True,6,dataset|algorithm|k|metric|mean|std|min|max|range,
P3/Mini,study_runs,V100_P3_MINI_I05_R03,study_runs/V100_P3_MINI_I05_R03/checkpoint/bec301fec1e94c25bda958dc1c61cd57/generated/prototype_pilot/results_long.csv,results_long.csv,.csv,3131,8cedd2ff1a0905d06cc6953f894ed5a88d79b203a715b069144ed73af24472ef,2026-07-24T09:10:22,True,30,dataset|algorithm|algorithm_class|seed|metric|k|value,
P3/Mini,study_runs,V100_P3_MINI_I05_R03,study_runs/V100_P3_MINI_I05_R03/checkpoint/bec301fec1e94c25bda958dc1c61cd57/generated/prototype_pilot/summary.csv,summary.csv,.csv,885,b8d0e8c0e70810d95854ef72d78acec7ee9a6296fa295c55a3187e87fc3eb5a0,2026-07-24T09:10:22,True,6,dataset|algorithm|metric|k|mean|std|min|max|range,
P3/Mini,study_runs,V100_P3_MINI_I05_R03,study_runs/V100_P3_MINI_I05_R03/costs_log.csv,costs_log.csv,.csv,15769,fb5e84350f706861fc6633407068840cd286fdb5ec0d8aa45606d9b9ce830b0c,2026-07-24T09:24:41,True,171,Position|Timestamp|Model|Prompt Tokens|Prompt USD|Completion Tokens|Completion USD|Total Tokens|Total USD,
P3/Mini,study_runs,V100_P3_MINI_I05_R04,study_runs/V100_P3_MINI_I05_R04/checkpoint/616618e2fb024188b5f926ea8eb4f527/generated/results_long.csv,results_long.csv,.csv,2551,5b189e6fb63439ebc227b9dba1cab47019cfe5537a2dd72cbdae248b8eb2286b,2026-07-24T09:12:21,True,30,dataset|algorithm|algorithm_class|seed|metric|k|value,
P3/Mini,study_runs,V100_P3_MINI_I05_R04,study_runs/V100_P3_MINI_I05_R04/checkpoint/616618e2fb024188b5f926ea8eb4f527/generated/results_summary.csv,results_summary.csv,.csv,556,24ff109faafd4b982be0a5acd961dda1ec345a783925386694fc85188bb54126,2026-07-24T09:12:21,True,5,dataset|algorithm|seed|train_interactions|test_interactions|realized_test_fraction|algorithm_class|algorithm_config,
P3/Mini,study_runs,V100_P3_MINI_I05_R04,study_runs/V100_P3_MINI_I05_R04/checkpoint/a8752555da954d139804e75770410067/generated/movielens_test_seed7.csv,movielens_test_seed7.csv,.csv,255751,95425e986bf1985069fe8aae540f6921c959271de624d4ac07d60ce9f39ea049,2026-07-24T09:10:05,True,11255,user|item|rating|timestamp,
P3/Mini,study_runs,V100_P3_MINI_I05_R04,study_runs/V100_P3_MINI_I05_R04/checkpoint/a8752555da954d139804e75770410067/generated/movielens_train_seed7.csv,movielens_train_seed7.csv,.csv,980665,dbf3665dc639ea1b44fbdff39e4198cf0ad0fd1ba4d44dfac71c021387703f15,2026-07-24T09:10:05,True,43158,user|item|rating|timestamp,
P3/Mini,study_runs,V100_P3_MINI_I05_R04,study_runs/V100_P3_MINI_I05_R04/costs_log.csv,costs_log.csv,.csv,13438,de3e87d4a7092b62d81f8c9c2e212fd494abaea732f9b57caae33acf3fbbd401,2026-07-24T09:23:54,True,147,Position|Timestamp|Model|Prompt Tokens|Prompt USD|Completion Tokens|Completion USD|Total Tokens|Total USD,
P3/Mini,study_runs,V100_P3_MINI_I05_R05,study_runs/V100_P3_MINI_I05_R05/checkpoint/222e3861e0cf4780b8cb2c5773309b0d/generated/prototype_results.csv,prototype_results.csv,.csv,2799,ea757bd11711af229611d585d82289dc502bbb291bd596888373b00800420abd,2026-07-24T09:31:04,True,30,dataset|algorithm|algorithm_class|seed|metric|k|value,
P3/Mini,study_runs,V100_P3_MINI_I05_R05,study_runs/V100_P3_MINI_I05_R05/costs_log.csv,costs_log.csv,.csv,17061,a8f676a68bed8a2ce0baba7ed9b1004951d8e0b4203e0d7fe1bf135fabe599cc,2026-07-24T09:42:16,True,185,Position|Timestamp|Model|Prompt Tokens|Prompt USD|Completion Tokens|Completion USD|Total Tokens|Total USD,
